id,outageYear,outageMonth,outageDay,stopName,Line,lat,lon
2455,2019,3,13,13th St,MFL,39.95228751,-75.16111359
2455,2019,3,24,13th St,MFL,39.95228751,-75.16111359
1392,2017,3,1,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,11,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,12,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,13,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,14,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,15,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,18,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,24,15th St,MFL,39.9526099,-75.16447651
1392,2017,3,25,15th St,MFL,39.9526099,-75.16447651
1392,2017,4,7,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,2,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,3,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,4,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,5,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,6,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,7,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,9,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,10,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,17,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,19,15th St,MFL,39.9526099,-75.16447651
1392,2017,6,25,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,2,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,14,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,15,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,19,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,20,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,22,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,23,15th St,MFL,39.9526099,-75.16447651
1392,2017,7,24,15th St,MFL,39.9526099,-75.16447651
1392,2017,9,22,15th St,MFL,39.9526099,-75.16447651
1392,2017,10,18,15th St,MFL,39.9526099,-75.16447651
1392,2017,10,23,15th St,MFL,39.9526099,-75.16447651
1392,2017,10,24,15th St,MFL,39.9526099,-75.16447651
1392,2017,10,26,15th St,MFL,39.9526099,-75.16447651
1392,2017,10,27,15th St,MFL,39.9526099,-75.16447651
1392,2017,10,30,15th St,MFL,39.9526099,-75.16447651
1392,2017,10,31,15th St,MFL,39.9526099,-75.16447651
1392,2017,11,22,15th St,MFL,39.9526099,-75.16447651
1392,2017,12,31,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,4,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,12,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,13,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,14,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,15,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,16,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,20,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,26,15th St,MFL,39.9526099,-75.16447651
1392,2018,1,29,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,8,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,9,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,11,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,12,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,15,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,17,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,20,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,24,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,25,15th St,MFL,39.9526099,-75.16447651
1392,2018,2,26,15th St,MFL,39.9526099,-75.16447651
